,lamba,val_acc,train_acc
0,0.0017338850623680145,0.489,0.5524222222222223
1,0.005441416223111388,0.4948,0.5424222222222223
2,0.009507570206731585,0.4846,0.5272
3,0.04132842135737455,0.4376,0.456
4,5.403087332978739e-05,0.4916,0.5562888888888889
5,0.0035003550622682176,0.497,0.5473111111111111
6,8.722329794507803e-05,0.4848,0.5539333333333334
7,0.048185550093192066,0.426,0.4414
8,0.06083434549299336,0.4144,0.42806666666666665
9,6.364557351775845e-05,0.4936,0.5538666666666666
10,0.0005310714465887979,0.4882,0.5549777777777778
11,0.0002727549382402368,0.4938,0.5513111111111111
12,0.0005959131478889546,0.494,0.5546666666666666
13,0.001653324411879443,0.486,0.5493555555555556
14,6.0539722247906777e-05,0.4912,0.5544666666666667
15,0.0130222678113155,0.478,0.5162666666666667
16,0.00039843662165873556,0.494,0.5529333333333334
17,0.00207110589943293,0.492,0.5493555555555556
18,1.315443649767396e-05,0.4884,0.5541333333333334
19,8.72330591225237e-05,0.4886,0.5529777777777778
