,lamba,val_acc,train_acc
0,0.010545505637518583,0.5124,0.5737111111111111
1,0.013335028533640946,0.5168,0.5644666666666667
2,0.011099931026457822,0.5234,0.5781555555555555
3,0.012741972422453864,0.5282,0.573
4,0.010266513663606754,0.529,0.5814
5,0.005728942203156875,0.5174,0.5864444444444444
6,0.013407631543714726,0.5252,0.5700444444444445
7,0.013045461166640532,0.528,0.5783777777777778
8,0.00646911871216432,0.524,0.5920888888888889
9,0.005435782661079882,0.513,0.5819777777777778
10,0.0074110267397007185,0.515,0.5768444444444445
11,0.01338778661623942,0.5286,0.5787777777777777
12,0.013519340520401931,0.5212,0.5728888888888889
13,0.005131284497092432,0.5242,0.5906222222222223
14,0.007501328741650416,0.5244,0.5880666666666666
15,0.012716201936499538,0.5218,0.5803111111111111
16,0.005800718826946636,0.5238,0.5825333333333333
17,0.008694574969122551,0.5268,0.5803777777777778
18,0.01263100790810201,0.519,0.5700666666666667
19,0.014409294868737377,0.5202,0.5679777777777778
20,0.01261182175038241,0.5278,0.5788888888888889
21,0.01285198695041078,0.5296,0.5744666666666667
22,0.01146472436920113,0.5268,0.5809555555555556
23,0.012871850619475319,0.5188,0.5721555555555555
24,0.013408252407014386,0.5182,0.5731777777777778
25,0.009448086933311048,0.523,0.5813111111111111
26,0.007653430654184607,0.5328,0.5859555555555556
27,0.00862606880019165,0.5242,0.5905777777777778
28,0.008952070575992612,0.5278,0.5892222222222222
29,0.005129806320629589,0.525,0.5860888888888889
