,lamba,val_acc,train_acc
0,0.0028250221054387675,0.512,0.5743777777777778
1,0.019080039891577187,0.5092,0.5592888888888888
2,0.006132931910137842,0.5272,0.5928666666666667
3,0.002291405922978194,0.518,0.5928
4,0.001600975319660162,0.5142,0.5937333333333333
5,0.009606386919640235,0.533,0.585
6,0.017262933546883304,0.5156,0.5618222222222222
7,0.0016324019719791243,0.5154,0.5929555555555556
8,0.01584722156190748,0.5172,0.5639333333333333
9,0.0011571662312889349,0.5072,0.5911555555555555
10,0.0018578689255846176,0.519,0.5919333333333333
11,0.0011544916299821948,0.5038,0.5707111111111111
12,0.004090148797340974,0.5152,0.5834
13,0.007402544251297462,0.53,0.5863777777777778
14,0.015074208516121297,0.5136,0.5719333333333333
15,0.00832359806716561,0.516,0.5759111111111112
16,0.005164360656835384,0.5332,0.5972222222222222
17,0.005081640715116854,0.525,0.5886
18,0.006924018172411422,0.5214,0.5918
19,0.012052372862619221,0.518,0.5761777777777778
20,0.010812408656797313,0.5264,0.5814222222222222
21,0.00544748187418167,0.5294,0.5894888888888888
22,0.0014794159807825192,0.5094,0.5868444444444444
23,0.0021024838805662207,0.5152,0.5882888888888889
24,0.0032800553859459024,0.5102,0.5816888888888889
25,0.005226477900124228,0.521,0.5914
26,0.017035409342383213,0.5188,0.5588444444444445
27,0.017927694930820914,0.524,0.5693333333333334
28,0.00794645074923334,0.5232,0.5879111111111112
29,0.005879831576689441,0.524,0.5945555555555555
