,lamba,val_acc,train_acc
0,0.06682705620556444,0.4866,0.5185111111111111
1,0.0018313772579622207,0.5184,0.5849555555555556
2,0.024069785659088315,0.5094,0.5465777777777778
3,1.2987619218917747e-05,0.5078,0.5824444444444444
4,0.00014150270083865735,0.5142,0.5887333333333333
5,7.000846927995247e-05,0.5018,0.5827777777777777
6,0.0065757377385861435,0.5248,0.5891777777777778
7,0.016741271677107324,0.5328,0.5732222222222222
8,0.00029982971539569965,0.507,0.5848222222222222
9,0.0002848977760232291,0.5062,0.5869111111111112
10,0.0001097590204172466,0.5152,0.5822222222222222
11,0.02550017958225445,0.5156,0.5539333333333334
12,0.053900323789832755,0.505,0.5339555555555555
13,0.0001790945566658095,0.5044,0.5836
14,0.05651204346385242,0.491,0.5257555555555555
15,0.009584890896990567,0.5222,0.5771111111111111
16,0.001492672444693682,0.5102,0.5941111111111111
17,0.00011950887937709639,0.4966,0.5829777777777778
18,0.017498257943833674,0.518,0.5675333333333333
19,2.708092883067678e-05,0.5022,0.5840666666666666
20,0.022660835980749063,0.5084,0.5582222222222222
21,0.000846385854356469,0.4972,0.5791555555555555
22,0.09117599571721266,0.482,0.5107555555555555
23,0.008411820183960642,0.5306,0.5858666666666666
24,0.00020971134658162306,0.504,0.5839111111111112
25,0.001590455739022593,0.513,0.5908888888888889
26,0.01541366285990959,0.5206,0.571
27,0.0005228477948571456,0.5098,0.5863333333333334
28,8.54105654180455e-05,0.5052,0.5824
29,1.5509254595173502e-05,0.501,0.5851111111111111
